Movie name,Movie genre,Speaker,Conversation id,utterance,Intent label,Character_label
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56275,"Oh, you're very clever. Let's make love, you silly, hairy little man.",3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56275,"I think it was Wordsworth who penned this little gem: 'Press the button, pull the chain, out comes a chocolate choo-choo train.'",3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56275,"I'll tell you all in due time, after we make love. But first, tell me another poem.",3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56275,Damn. What exactly do you do at Virtucon?,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56275,Yes.,3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56275,Is it about my teeth?,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56275,Do you mind if I ask you a personal question?,3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56269,Kiss me.,3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56269,To my health.,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56269,"Thank you, that's beautiful. To your health.",3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56269,"'Milk, milk, lemonade.  Round the corner fudge is made.  Stick your finger in the hole, And out comes a tootsie roll!'",3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56269,That's very clever. Do you know any other poems?,3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56269,"'Pardon me for being rude, It was not me, it was my food.  It just popped up to say hello, and now it's gone back down below.'",3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56267,Mmmm... I feel extreme relaxation.,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56267,"How do you feel, Mr. Cunningham?",3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56263,Sak-i it to me!,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56263,Care for some saki?,3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56263,Or sometimes not at all.,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56263,"In Japan, men come first and women come second.",3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56261,Groovy.,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56261,May I wash you?,3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56258,"Don't you like girls, Mr. Cunningham? Come in, and I'll show you everything you need to know.",3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56258,I'd rather talk about Number Two.,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56258,Come in.,3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56247,Behave!,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56247,"It's for the mining industry, Mr. Cunningham. We can talk about business later. But first, let me slip into something more comfortable.",3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56247,"I didn't, baby, you just told me.",3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56247,"Virtucon's main interest is in cable television, but they do have a subterranean construction division, yes. How did you know?",3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56247,"Your boss, Number Two, I understand that cat's involved in big underground drills.",3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56247,You may.,3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56247,"Call me Ritchie, Miss Fagina. May I call you Alotta...  Please?",3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56247,"What do you want, Mr... Cunningham, was it?",3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56247,"What, and watch all my earnings go...  Down the toilet?",3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ALOTTA,L56247,I thought you'd quit while you were ahead.,3,0
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L56247,You seem surprised to see me.,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L55902,Smashing!,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ANDY WARHOL,L55902,"""Fifteen minutes of fame?"" I'm going to use that quote and not give you any credit for that, either.",3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L55902,"If you can become famous, everyone will have their fifteen minutes of fame, man.",3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ANDY WARHOL,L55902,I'm going to paint this can of soup and become famous and not give you any credit for it.,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L55898,"Here, have this can of Campbell's Tomato Soup.",3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ANDY WARHOL,L55898,Hungry.,3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",AUSTIN,L55898,"Hey, how are you?",3,1
austin powers: international man of mystery,"['action', 'adventure', 'comedy', 'crime']",ANDY WARHOL,L55898,"Austin Powers? Hi, I'm Andy Warhol.",3,1
