Movie name,Movie genre,Speaker,Conversation id,utterance,Intent label,Character_label
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442425,"Mr. Gibbs, organize a cleaning detail -- you and Cotton.  I want every inch of the Pearl spic-and- span and ship-shape!",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ANAMARIA,L442425,"Aye, aye, sir!",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442425,"AnaMaria, trim the mainsail!",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442087,"They'll be anchored on the lee side.  Haul your wind, and keep to the weather of the island --",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ANAMARIA,L442087,How does he do that?,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ANAMARIA,L442016,I will.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442016,You'll get it back.  Or one better.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ANAMARIA,L442016,That boat is my livelihood!,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442016,Safe!  At Port Royal.  With the Royal Navy.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ANAMARIA,L442016,My dory.  The Jolly Mon.  Where is it?,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442013,AnaMaria!  Have you seen Gibbs?  I need to put together --,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ANAMARIA,L442013,You stole my boat.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",WILL,L442402,He didn't waste it.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442402,"Hah.  Ten years you carried that pistol, and you end up wasting your shot.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442213,"Quite, boy, or you'll lose your tongue.  Those as know me know I wouldn't cross my word, and bring down bad luck on the ship.  I agreed to set them free.  I didn't when ... nor where.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",WILL,L442213,No!  You gave your word!,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442207,"Eh?  You have my word, then -- on the Good Book, I do swear, and the Lord spare my worthless soul.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",WILL,L442207,You must swear by the Holy Bible.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",WILL,L442201,And Jack.  And the crew.  Free and unharmed.  If you agree ... then ... I will remain with you.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442201,We got that part.  Anything else?,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",WILL,L442201,Elizabeth goes free!,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442201,Enough of that!  Name your terms.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",WILL,L442191,You can't.  I can.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442191,You've got one shot -- and we can't die.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",WILL,L442191,She.  Goes.  Free.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442191,"What's in your head, boy?",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442399,Or you could surrender.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442399,"So what now, Jack Sparrow?  Are we to be two immortals, locked in epic battle until the trumpets of Judgement Day?",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442393,Remarkable how often those two traits coincide.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442393,"Just so you know, Jack -- I don't think you're that clever.  I think you're a fool.  A mortal fool.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442374,"Aye, for us there is.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442374,There's ... another exit?,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442371,Men!  Are you up for it?,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442371,"Now, you can take care of the Dauntless, right?",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442365,"Aye.  See, after you're done with the Royal Navy, you'll have a bit of a problem: the H.M.S. Dauntless. There you'll be, with two lovely ships on your hands, and what to do?  Of course you'll decide you deserve the bigger one, and who's to argue?  The Dauntless a first- rate ship-of-line, and with it, you can rule the seas.  But if you're Captain of the Dauntless, who's left for the Black Pearl?",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442365,That so?,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442365,The situation has changed.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442365,"I can't help wondering, Jack, why you're being so helpful and all? Last time you did that, it didn't end well for you.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442365,Like after you've killed ... Every ... Last ... One ... of Norrington's men.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442362,What're you suggesting?,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442362,"You've no hope of surviving Norrington's attack ... that is, if you're mortal.",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442356,"Because, right about now, the H.M.S. Dauntless is lying in wait in the harbor.",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442356,Why don't I want to do this?,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442354,All right then.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442354,"No, I really think I do.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442224,That's fair.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442224,You can go to your grave not knowing.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442224,"So how did you get off that island, anyway?",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442218,"The last time you do this, you left me a pistol, with one shot.",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442218,"You'd best take a swim, Jack.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442215,"Someone needs to cut these bonds, then.",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442215,"Now, Jack.  That reef is less than a league distant.  It's a square deal all around, and you can't hope for better.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442215,"It's pure evil to make a Captain walk the plank of his own ship, twice in one lifetime.  No good can come of it.",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442161,"Bosun!  Set up Mr. Sparrow's quarters, nice and fine ... in the brig.  Meaning no disrespect, of course.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442161,I'll watch my back.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442161,"That fool woman took it.  You be careful around her, Jack -- she's pretty enough, she'll steal your heart -- but pure evil inside.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442161,What -- you don't have the medallion?,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442157,"You're playing this as close to the edge as any man, I'll give you that.  We might just have to sign articles, you and I.  Jack, you're a pirate at heart, that's certain.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442157,"See, that's where we're different. I trust you ... to do what it takes to get what you want.",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442157,"Jack, I don't trust you, and that's a fact.  Never trust a smiling man, you can lay to that.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442151,Track you down and --,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442151,Let's say I tell you the wrong person.  What would you do?,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442151,"You're setting me up for a double cross, you with the ship, and me with nothing more than your word!",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442151,Wait as long as you like.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442151,Blast you!  I'll throw you in prison.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442148,You left me on a desert island -- what worse can you do?,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442148,I'll torture it out of you.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442148,"You see, I've got this honest streak in me -- in its own way, a sort of curse.  Oh, and there's the fact that you have no choice.",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442144,I'm supposed to ... trust you?,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442144,That's right.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442144,"That's your offer?  You, sailing away nice and pretty with the Black Pearl, and all I have is a name?",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442140,You give me the Pearl.  Then I tell you who you need.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442140,"The Pearl?  Oh, that's fine.  And just how do you expect this to work?",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442140,Simple.  I have something you won't more than anything.  The way to free you from the curse of the treasure.  You have something I want -- more than anything.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442140,Allow me the humor of listening to your terms.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442135,No you won't.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442135,"Say the name, or I slit your throat.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",JACK,L442135,"I know whose blood you need, to end the curse.",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442360,No.  But him I believe.  He us genuinely angry.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",PINTEL,L442360,Do you believe him?,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",PINTEL,L442337,I guess there is a reason to fret.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442337,"Turner blood doesn't flow pure in his veins.  Best play it safe, and spill it all.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",PINTEL,L442337,No reason to fret.  It's just a prick of the finger and a few drops of blood.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442220,"By the powers, you're right!  Where's Jack's pistol?  Who's got it?  Bring it forward!",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",PINTEL,L442220,"That's proper, sir, according to the code.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",PINTEL,L442199,"And he's got Old Bill's courage. A curse on him, and you!",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442199,Looks like your back to having nothing to offer.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442138,"Now.  No, don't kill him.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",PINTEL,L442138,Now?,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ELIZABETH,L442205,Will -- you can't trust him.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442205,"Agreed.  You have my word, as a gentleman of fortune --",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L442089,"Aye.  And not a bit of it any use to us, only hoarded.  But it will drive us no longer.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ELIZABETH,L442089,The curse drove you to gather this?,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L441972,It's a piece of the treasure of Isla de Muerta.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ELIZABETH,L441972,It's a pirate medallion.,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L441972,"Do you not know what this is, then?",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L441969,Would that I could.,3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ELIZABETH,L441969,Then why aren't you eating?,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L441969,"Oh, there would be no sense in killing you, Miss Turner.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L441962,"Now, none of that.  Please dig in.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ELIZABETH,L441962,Dare I ask the fate of it previous owner?,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L441962,"Maid or not, it fits you.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L441856,"It's you who invoked the parlay! Believe me, Miss, you'd best hand it over, now ... or these be the last friendly words you'll hear!",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ELIZABETH,L441856,Can I trust you?,3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L441856,"No, no, nothing like that.  Very well.  You hand that over, we'll put your town to our rudder and ne'er return.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ELIZABETH,L441856,"Of course.  I didn't steal it, if that's what you mean.",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L441856,"And how does a maid come to own a trinket such as that?  A family heirloom, perhaps?",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ELIZABETH,L441856,"Thank you, sir.",3,1
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",BARBOSSA,L441856,"You've got sand, for a maid.",3,0
pirates of the caribbean,"['adventure', 'fantasy', 'horror']",ELIZABETH,L441854,Elizabeth --  Turner.  I'm a maid in the governor's household.,3,1
