text	sentiment_score
That the why would they do that?	0.0
Cutter Martin, are you there? First off. Let me congratulate you marinelle state quarterfinal victory over the Wellington skyrockets.	1.0
Well, yeah, actually I come to London at the end of November brilliant. We'll be in touch.	1.0
I'm glad to see I forgot to eat.	1.0
And I heard like when you raise your vibration you effect like a hundred thousand people around you something like that.	1.0
I saw this guy with one leg and one doing things that normal people can't do all want to be and they're just It sparked that interest that made them want to create some adaptive diving here. And these guys have been making equipment for the Special Forces all around the world for a long time. It really could have they make such incredible new Ingenuity equipment that you know, it's just really great to use. I love it that just designed me a set of my own sins. We started this line called The Bionic AF, you know what that means? So the probably got a bionic a offline with short travel easy carbon fiber sins that are super super light and I like them short because I can't maneuver as well anymore with my diving leg my robotic diving leg because it doesn't really Bend at the knee whenever I want it to like you would if you're spinning with your normal leg. And so having these really long freediving sins and bulky scuba Sims makes it harder. So that made these really short wide powerful carbon fiber. Thins that I just amazing and then travel bags you can put all your stuff in a really awesome day say that's perfect for traveling really light really easy to use for me with one hand. So it's just cutting it back to the Simplicity of making diving not so complicated so we can just enjoy it.	1.0
Yeah, but so would it be could be best would be emailed us to ride right to my to my email?	1.0
So cousin quality time. I guess I was it you guys in the next video. Thank you for listening the next one. What kind of what kind of workouts?	1.0
Then I just separate them down the middle or count off by twos to split them up.	0.0
I mean if I recall you're definitely human.	1.0
Yeah. It has to be even worse for you because they say that to me but if I don't believe in hell, it doesn't really affect you as much I can't imagine that's horrible.	0.0
