speaker_tag	text	sentiment_score
2	Welcome to the foxy property chat pod cast I'm your host Jake shorter. And today I am joined by Jessica Dwyer of right at home staging which is located on the sapphire Coast in New South Wales. There's a couple of things in particular probably three that I found really interesting about this interview. The first one is that just is located in her business is located in a very Regional or even rural area and I guess we talked about some of the difficulties that she faces as part of that and I know that she's not alone in that in around Australia. We also talked about The fact that the her staging business is only one of two businesses that she runs she actually has a retail physical retail store as well. So I talked a bit about how that fits in with her staging business how it complements it and also the difficulties in running two businesses at the same time. And the third one that we get into is a little bit of an online shop idea that she's had to help increase or add another revenue streams part of her staging business and in particular she has set up a dream packages. That she sells locally to various people and and I found it really interesting. And I know that she's not alone in setting up an online store as a another source of Revenue. So we kind of talked about her thoughts behind it and what she has found very successful and difficult in saying that up. She also finishes, I guess the interview with an answer to my question which I often ask but don't get a great answer which is what is something weird or unusual that you love actually has a really good answer which I actually do the same thing. Going to tell you what it is yet. You have to listen to the end to get that but I suspect its more common than we both or then she realized I think it's actually probably more common in the general population. So listen and let me know how you go with that one. Enjoy the episode. Okay, I'm joined today by just for Dwight from right at home staging. How are you going? Yes, I'm good. Thank you Jake. How are you? Very well, welcome to the show.	1.0
1	Thanks for having me.	1.0
2	Glad to have you here. We did meet recently at the symposium. Dan in Sydney for the first time so that was kind of the first time that we met face-to-face and now we get to talk a little bit. I think what most of our interactions as they would be with most others in the industry are online and social media. So it's kind of nice to be do something a bit different.	1.0
1	I know when I saw baby in Sydney, I felt like I already knew her because we constantly are watching you on Instagram. So it's kind of nice, you know to finally meet in person and you're one that likes	1.0
2	To get in front of camera as you're doing things that I'm going to get into a little bit of that. But before we do that, I want to go right back to the start and ask what were you doing? Just before you got into the home staging industry.	0.0
1	I was living in Sydney working in corporate as a project manager.	0.0
2	Like I'm so completely different fields in you talking about kind of the the big industrial type projects or what sort of projects that we are you talking about so more	0.0
1	Technical so I was implementing EHR systems into lens Elise. And so I got into implementing EHR systems in quite a few of my previous roles. So it kind of just became my little niche and I think that's where I am quite good with all the technical side of things in business because that's my background.	1.0
2	Completely different to what you doing now for sure.	0.0
1	I know you're right. But I think the project management side of things does help me because it makes you be very organized and structured in how you complete projects.	1.0
