text	sentiment_score
And take 43 Mark.	1.0
So do this is exciting. We won't do this for a long time.	1.0
And I'm hyped about this. I think going to be a lot of fun.	1.0
Yeah, me too. I mean like again I want I've been want to be on podcast for a while. I listen to a ton of podcast. Yeah, and I haven't been on many. Well, okay. So now that you have your own	1.0
Podcast what do you want to call it? You want to say the name? Yeah, it's take 43 and it's take 43 because well, there's a problem. I'm sorry about the other 42 takes I was freestyle rapping and I dropped like oh like is like a lot of f-bombs and so we couldn't use any of those. It's true. He did you know, and but you know, hopefully one day I'll be able to work out like at least 50% of the f-bombs and it can be our intro song.	1.0
That's like, that's awesome. So what's cool about this podcast is we're good production professionals. We talk about anything in the production world. Video related we've been doing video for 15 years.	1.0
Yeah. I be combined. We probably been doing it for 20. I've been doing it for about 15 old alone.	1.0
Yeah, then what is it for quite a while to exactly and it's important to note though that we are production professionals, but we have a lot of experience but there's still a lot for us to learn.	1.0
Yeah, absolutely. So we were like we want to impart any knowledge we might have on to you guys. But at same time like we want to hear from you we want to learn from you. We're not going to get everything right? We're not we don't want to Hornswoggle anybody and pretend like we are just like these gurus list everything we have to say take it out to the world. You're going to be successful like like we don't know that for sure. We're just a couple of guys. We like doing this we like talking about it. And so we want to hear from you. We want to know what we you know, do right and what we do wrong and and we want to hopefully give you guys some knowledge as well.	1.0
And so I think I think we have a lot of fun along the way totally what kind of comes around goes around and I think that's what this is all about. Just a learning experience and educating both ways. And I think I think we're on the right track for that.	1.0
Yeah, I think so. I mean it's certainly the best intro recorded so far.	1.0
I see that took forever.	0.0
Yeah, but so like let's do it.	1.0
What do you say? Yeah, sounds good. So Aaron, I Start off this this is called this episode is called DNA and it's basically about you and I drew in there and threw an urn. So I want to ask you first Aaron. You know, how did you get started in this and and kind of take me back to that day one where you knew you wanted to do this and kind of give me like a past. Give me like a present. Give me a future as well.	1.0
Oh, yeah, you got it. It's like it's actually super easy for me to pinpoint the moment where I knew I wanted to like put, you know moving images on a screen and that would be in the Summer of 1991 when I went to the theater and saw Terminator 2 Judgment Day. How old were you in? 1990-1991 I would have been I was 13, I guess 13 I guess I was too man. So it was my wife.	1.0
That sounds like a joke, but it's not my man. My man. Yeah. So yeah summer 1991. I mean I had like I grew up watching movies.	1.0
I already loved movies, you know the ones that I watched as a kid over and over again or you know rid of the Lost Ark Goonies like and so in Terminator the Exterminator, which my mother bless her soul. Let me watch as a child. I never scart. I was scarred somebody enriched as well. And so when Terminator 2 like the big SQL is coming out as like I couldn't wait to see it. So I actually went with my parents and sod and the movie blew me away, you know, not just in terms of visuals, but in terms of the storytelling like the story structured in such a different way that I'd never seen before like you want to talk about, you know blowing Minds wide open like that's what happened to me to the point where R. That was when I first like picked up like one of the one of the movies I think there's a movie magazine called Premier that I used to read. And that's when I started picking up that kind of stuff and looking into what actually went on behind the scenes to bring that to everybody and that's when I realized like I think I think I have some stories. I want to tell I like I want to like make something I want to put it on the screen you were enriched and obviously all this beautiful picture you were engulfed in the magazine.	1.0
So what was your plan though?	1.0
Oh, I mean I was 12. I didn't have a plan.	1.0
You were worried. What's what was your dinner?	0.0
Right but but over, you know over the years that followed, you know, I kept on like I said reading magazines about it. And this is like in the, you know, pretty early days of the internet and IMDb had just come out and so it used to be so okay, even before that. I would go to this video store and they had like a big like movie catalog or not catalog but like an encyclopedia and so like, you know, the first person I went looked up with James Cameron because he's who wrote directed Terminator 2 and so I could find out like it wasn't as easy back then to find out who You know what filmmaker like what movies he done like a complete like, you know filmography, but then, you know IMDb came out and and suddenly I was able to like search for this stuff. It was all just like text back then right? I was about to say IMDb wasn't out yet. You nailed it? Yeah. Yeah. That's our reference. Now. That's that is our dictionaries. We like I probably Search IMDb for piece of trivia. I wouldn't be surprised if it's 10 to 15 times a day easily totally easily and I'm definitely when you're watching a movie, right? Absolutely.	1.0
Absolutely like all like I know that guy, where's that guy from about? Oh, is that guy?	1.0
Yea, you know that good made this or who wrote who made this? There's like even just today we're looking for something and and as I was like owner who wrote this is a trailer just came out today. I'm like, I wonder who wrote this for a morbius. Okay. He said yeah, it doesn't look very good. But I was curious who wrote it and I went to it and found out that the writer also did the kings of Egypt so I'm pretty sure my feelings about that movie or Justified. I love that movie but is so dumb anyway, so okay in terms of a plan. Yeah. I didn't have one and immediately but as I got a little bit older and start to realize as I started getting to the age where I needed to have a plan being you know, 17 18 years old. I am I going to college am I what am I doing? I like I had I had come to the decision that I wanted to go to film school. But at the same time like I didn't really feel comfortable like trying to ask my parents to help pay to send me to art school. I'm not it for when I'm not even sure that they would have liked agreed to that. You know, I think my dad's a pretty practical person. You probably have been like like well if you're gonna go to you know School Going to pay for it. We want to make sure it's something we can get a return on the investment for which makes sense. But my parents are also very they've always been very supportive of all the creative things I wanted to do when I was a place to play guitar might like my dad. He'll buy me like this. Nice big Marshall Half Stack and let you know it's always very supportive of this stuff. So that's just conjecture on my part. Is that how he would have felt about it? But good now you need to support especially in a different type of you know, you weren't doing sports and things like that.	1.0
Right right kind of touch on my side of that later. But yeah that's important right it is and so, you know,	1.0
so my dad's answer was join the military never mind about the support.	1.0
Yeah.	1.0
Well, I mean he's so my dad was in the Air Force also and you know, I think he was kind of a punk kid kind of like I was and I think it was a lot of good for him and I can feel the same way. I was like, I was like, okay like I could join the military, they'll pay for my college and also like it was kind of like not sure if I was ready for college to be completely honest, like I felt like I needed to kind of go out and like see the world and like screw around a little bit. And you know not it's not a very not very popular. I did like not go to college right after high school, but it is if you join the military, I think it's just weird and I definitely would recommend it for anybody and I definitely would recommend a right now, but but it was it was very good for me. You know, I did I joined the Air Force at 17 and I ended up spending about five years in the military honestly because I knew at the other end of that I'd be able to afford to go to film school. Yeah. Well, thank you for your service. No. Thank you for your service. All right, so did it pay? A off do you after you so you yeah, so in the military then now you're going back to films.	1.0
Are you going to film school?	1.0
