speaker_tag	text	sentiment_score
1	Hello and welcome back to the talk unit walls podcast. We're here for podcast number 12, and we are here to review obviously the games that happen in November alongside. Cheers time talking to the my queen. Hey, I'm checking on fine. I'm fine could barely a levels. Are we going to be reviewing the games from November? And of course we could actually be talking about a team of the decade as well. But as always, my name is Dave a long. So I've been here is Tom y'all got the black Tom? How's it going?	1.0
3	Great. Thanks.	1.0
1	Good make good. I like your hat.	1.0
3	Cheers mate brush it rocking the Daniel Powter.	1.0
1	Obviously. We have got MacKeeper Matt dying and the callings just about and our special guest today is none other than mr. Harry Mansell.	1.0
3	Hello Mary. Thanks. Thanks.	1.0
1	Which one is it?	0.0
3	We've got some sound effects like Steve Wright in the afternoon. Thank you very much.	1.0
1	So, how are you? Of course, you've come I think we felt sorry for you in the last there's always water. Okay. There we go. In the last podcast. We took I'm pretty sure we took the McHale.	0.0
3	Yeah, I didn't mind it was funny.	-1.0
1	It was a shit show that it was I on I ain't joking.	-1.0
3	I generally thought you were really good and then when I put it on foot picture on Twitter, absolutely. Yeah, I'm or Fashions terrible. But when I will stop there in a while it wasn't that bad.	-1.0
1	Maybe it was just it was just horrendous. Yeah, it was right. We are going to be kicking off with well actually the Bratislava game, but the home time Wolves of course ended up winning that game one goal to nil to rely on a stoppage time winner from him and as I mean, it was pure domination, but it was one of those games Thomas. You can remember it werewolves just couldn't seem to break through. Yeah, they go keep ready pretty good games.	-1.0
3	But yeah, you made a good saves and we played quite well throughout the game, but it just took a lot of patience to build to break them down. And then because that horrific injury that took 10 minutes out of the game gave us the extra time to go to get the goal that we needed but ironically	-1.0
1	- Cody as well.	0.0
3	Yeah, but but he put his hands together. So, you know, yeah, it makes it all better specs but I got to be honest.	1.0
1	It's that long ago Dave and I was just my fault.	-1.0
3	It's your podcast me.	0.0
1	Anyway. All right, Matt. Do you remember the game all yeah, it was it was it was really frustrating in I think it was one of those those games that we've seen previously where we did. I think we would have played or not and not scored or just never look like leave. Again, it came in the 92nd 93rd minute. Yeah, 12 minutes and I'm very very very light is the Fantastic header. What a late that was the other similar chance today against Sheffield United worries a lot of standing jump or not jump Center off. It's a great leap. And yeah, it was good obviously very important to get the three points now that now that we've qualified so that's all that really matters isn't it rather than the performance the trailer I put the ball in for?	1.0
3	Yeah, it might ease Souls water wet.	1.0
1	He's awesome. And he's a real ability though. If it is something that he's really showing off a little bit more this year some of the haters and he's got a couple of them this year. We very rarely get what balls into the box I deliver.	1.0
3	Yeah, Troy puts a line any try. All right.	1.0
1	He's already and Border. Yeah, there was of those a point today where we've got two players overlapping on the wing and I looked in the box and there's approximately zero players and their strict him just comes out a lot and yeah, very rarely. Give me exact.	1.0
3	Getting the cross yesterday and we'll move on from that game all unless are you going to have just been really boring but atmosphere and yeah, I read kicked him in the are 12 and it's added on and we got the goal. Drink should have listened enough for that night's an accident. I think it's did it was unlucky to get a yellow card for it. And he said yeah. Hey it's dangerous, but it's all read them. Yeah, like you say their keeper was good. And I thought they just played at their skin, which is a big game for them with coming tomorrow their fans. We have mentioned their fans. They were amazing. Yeah. Yeah, everybody said they were genuinely the best fans. I think I've ever seen him on you.	1.0
1	Please probably about 500 upstairs and downstairs and all these, you know, the reputation of racist chant in and just been Ultras and stuff like that and have come out with these chance and then they followed with yeah.	-1.0
3	I was thinking that needs to be that needs to be introducing. I absolutely loved it.	1.0
1	It was great.	1.0
3	Let's load that stuff into the kind of yeah, I'll obviously thought that was full of kids. They're not mad at the sphere.	0.0
1	I thought that Phantom earlier Tom with a couple weeks go up against Aston Villa 2-1 win. Obviously Reuben Eva's score in the opener him and his more. Let's put in the game to bed before trezeguet got that consolation goal Matt. It was a massive one wasn't it though? That's first off performance. Probably the best I've seen as right ever. Yeah.	1.0
3	It was since the last time we played ever. Hope. That's the that's the maybe man united in the cup holders in there that holds the plastic plastic.	0.0
1	But yeah. Was great. It was doc said probably the best I've seen apply especially especially under Noona if we just take our chances are many times. I need to keep saying and that game would have been out of sight and in the second half we wouldn't have happened. Well, it obviously would have happened but you know, we put ourselves under a lot of pressure in that second half a lot of unneeded pressure. Is that deeper and deeper which have been conscious of in the past few seasons. Anyway, I Watford New Year if I could Braga. Yeah, so it yeah, the first off was great should have put the going to bed, but it's one of those Delivered when it was terrible probably the worst team us. I've seen this either. I'm not just saying that because of the villa and there are local Royal.	-1.0
3	I was really disappointed by John begin because I thought was going to be a property. But yeah, he did turn exactly battle between McKinnon and routine you but yeah, yeah. Well when they show you one just didn't tell the story did it we could have beat him up five one on the day really and five shots on target is Philip. I think Villa did Miss grealish, but they were so bad. I mean they do today. I looked at that I thought yeah, they're getting relegated in. It's the best of sin tree or a human hairs and jata combined. I thought they're absolutely lethal and obviously Doherty and Johnny and they're like we say like you got to be scoring up the score more the chance and yeah, that's it had to a good was there never is his goal. I thought it's been really clever at the time I said because I said to my dad this is going to be s a very respectable to come in this coming out to neighbors and it happened and I was thought I was the best thing ever to put that on there and then people said, let's do it on the radio and they're going Everyone in the ground could see what then is you can do but I did leave any words. I mean never sees my very much all the boxes left him on his own very naively little run up the knee little shimmy Runner. Here we go. Great finish. It's almost like and today there's a couple of times. It's like watching rugby where you wait for the man in the pocket for a drop goal the end of the game where we none of you know, but I might there will be one person watching. Who knows. Thanks, Dad.	-1.0
1	Well, I was going to ask if I mean the back free I think that was one of the first times really we saw Cody then Duncan say sort of look pretty pretty solid. I know we've had previous games. We've spoke about it the Arsenal game and so on but forward touch on it now before we move on to the next game, how do you lot think that I know they didn't play that back for you today? But how do you lot think we've adjusted? Life without Willie Bali as well because I personally think it's doing a lot better than what I am.	1.0
