Movie name,Movie genre,Speaker,Conversation id,utterance,Intent label,Character_label
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",LOCK,L415199,Everybody knows about--,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",BARREL,L415199,He <u>has</u> to know...,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",BARREL,L415134,We went through the door...,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",LOCK,L415134,We followed your instructions.,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",BARREL,L415111,"<i>                      Now in the box, we'll wait and hide Until his curiosity Entices him to look inside...</i>",3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",LOCK,L415111,"<i>                      I've got something, listen now, This one is real good, you'll see. We'll send a present to his door Upon there'll be a note to read.</i>",3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",BARREL,L415107,<i>                      I'm not the dumb one...</i>,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",LOCK,L415107,<i>                      I wish my cohorts weren't so dumb.</i>,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",LOCK,L415077,Lock.,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",BARREL,L415077,By name.,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SHOCK,L415166,Where?,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",BARREL,L415166,Where're we taking him?,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SHOCK,L415156,And heavy...,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",BARREL,L415156,"He sure is big, Jack...",3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SHOCK,L415143,We can handle it.,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",BARREL,L415143,Not at all!,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",BARREL,L415087,<i>                      Three of a kind...</i>,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SHOCK,L415087,<i>                      Jack said we should work together.</i>,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",BARREL,L415087,<i>                                   ... Let's draw straws.</i>,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",BARREL,L415079,Barrel.,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SHOCK,L415079,Shock.,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SALLY,L415044,Experiments?,3,1
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",EVIL SCIENTIST,L415044,He's conducting experiments of his own.,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SALLY,L415044,"When he left, he took a lot of equipment with him.",3,1
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SALLY,L415042,He stayed a long time.,3,1
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",EVIL SCIENTIST,L415042,Uh-huh.,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",EVIL SCIENTIST,L414992,"I could.  Of course I could. But no one would be like you...  I'll never understand how you can be so cold-hearted, how you can treat me this way, discarding me like--",3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SALLY,L414992,Can't you make other creations?,3,1
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",EVIL SCIENTIST,L414992,"Then we'll both starve...  An old man like me, who hardly has strength as it is -- me, without whom... me, your own father...",3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",EVIL SCIENTIST,L414989,"Whatever it is, it's none of your concern.",3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SALLY,L414989,But I have to go out. Something's happening out there.,3,1
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",EVIL SCIENTIST,L414981,There's nothing more suspicious than Worm's Wart -- it distracts one from every other taste and smell.,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SALLY,L414981,I'm not hungry.  What's wrong?  I spent all morning on that soup.  I thought you liked Worm's Wart.,3,1
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",EVIL SCIENTIST,L414981,Why not?,3,0
the nightmare before christmas,"['animation', 'family', 'fantasy', 'musical']",SALLY,L414981,No.,3,1
