Movie name,Movie genre,Speaker,Conversation id,utterance,Intent label,Character_label
the silence of the lambs,"['crime', 'thriller']",CLARICE,L342373,Agent Mapp! Thank you!,3,1
the silence of the lambs,"['crime', 'thriller']",ARDELIA,L342373,Agent Starling! Telephone!,3,1
the silence of the lambs,"['crime', 'thriller']",CLARICE,L342257,He knew her...!,3,1
the silence of the lambs,"['crime', 'thriller']",ARDELIA,L342257,"Hot damn, Clarice.",3,1
the silence of the lambs,"['crime', 'thriller']",CLARICE,L342257,"""- every day.""",3,1
the silence of the lambs,"['crime', 'thriller']",CLARICE,L342253,But why? He didn't weight the others.,3,1
the silence of the lambs,"['crime', 'thriller']",ARDELIA,L342253,'Cause she didn't drift. He weighted her down.,3,1
the silence of the lambs,"['crime', 'thriller']",CLARICE,L342253,"Fredrica Bimmel, from Belvedere, Ohio. The first girl taken, but the third body found... Why?",3,1
the silence of the lambs,"['crime', 'thriller']",ARDELIA,L342247,The one that was weighted down. Where is she...? Fred something.,3,1
the silence of the lambs,"['crime', 'thriller']",CLARICE,L342247,What girl?,3,1
the silence of the lambs,"['crime', 'thriller']",ARDELIA,L342247,"Well, except for the one girl.",3,1
the silence of the lambs,"['crime', 'thriller']",CLARICE,L342247,"But there is no pattern. There's no connection at all among these places, or the computers would've nailed it! They're even found in random order.",3,1
the silence of the lambs,"['crime', 'thriller']",ARDELIA,L342247,"Not random at all, maybe. Like there's some pattern here...?",3,1
the silence of the lambs,"['crime', 'thriller']",CLARICE,L342247,"""Desperately random."" What does he mean?",3,1
the silence of the lambs,"['crime', 'thriller']",CLARICE,L342241,"He's here, Ardelia.",3,1
the silence of the lambs,"['crime', 'thriller']",ARDELIA,L342241,Lecter said a lot of things.,3,1
the silence of the lambs,"['crime', 'thriller']",CLARICE,L342241,"The worst part - the thing that's making me crazy - is that Bill is right in front of me. Only I can't see him...  Lecter said, everything I need to catch him is right here, in these pages...",3,1
