Movie name,Movie genre,Speaker,Conversation id,utterance,Intent label,Character_label
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381601,"Lose your name and identity, work endless hours an behalf people who don't know you exist, and abandon any hope that you might one day feel even the slightest bit sure of your place in the universe.",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381601,And if I say yes?,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381601,"It's easy.  You work your way up the secret service, one day stand with the President, meet the most important people on the planet, fulfill your dreams, live happily ever after.",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381597,"Oh, you'll still, be guarding him.",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381597,Once I thought the biggest thing I'll ever do was guard the president.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381588,I gotta be honest about something.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381588,No. just peace on Earth.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381588,And Goodwill Toward Man?,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381588,We have one motto: Peace on Earth.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381572,You got smeared.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381572,I guess I lost:,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381572,Kids' game a couple galaxies over.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381572,What the hell...,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381572,...touch that.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381566,It's not even a fucking door.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381566,So... this door.  It's... not an exit...  ?,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381564,"It means I know you think you got a beat on things.  But trust me, you don't.  You don't even have an inkling of a hint of a clue as to what's really going on in the world.    And if you want to find out even a little, you'll shut up and come with me. And if you don't, fine.  Go with them. Cause I'm not interested in breaking in another little hot-shot only to have him wig or die on me just when I'm starting to count on him.  So forgive me if you don't exactly hear me ringing little bells and whistling welcome aboard, but this isn't the Love Boat.  And I'm not Captain Fucking Stubing.  Now I'm sorry.  But this has been one long, bad day.",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381564,"Yes.  That's true.  Actually, at this point, I just want A job.  Wait. What do you mean... yet?",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381553,Cowan-- will you shut your god damed mouth?,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381553,"of course not, cause his head is that thing way on the other side of the road, cause, if you looked at it, the entire sidewalk full of stuff was actually ONE GUY and--",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381553,Cowan--,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381553,"Wait.  Uh-- sir.  Please.  Anyway.  Hook-head-guy.  I'm thinking ""how can he think with a hook for a head?"" Answer: that's not his head. Then I think--",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381553,Cowan--,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381553,"Sir, before you boot me, I just want to explain.  I mean, okay, you got a goat-guy with a hook for a head...",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381545,Obvious?  Why don't you and I have a little talk about the obvious... outside.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381545,"Well, I dunno.  I mean, when you looked at all the other options... it just seemed sorta obvious.",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381545,The hell were you thinking?,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381545,"Uh... yes.  Apparently I did, air.",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381545,You shot an eight year old girl.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381542,I'm not talking about that.  I'm talking about your choice of targets.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381542,"Hesitated, sir.",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",KAY,L381542,The hell happened?,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",ZED,L381640,No. But You'll get used to it.    Welcome to the Men in Black.,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381640,It'll make sense later?,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",ZED,L381640,His physics are a little different than ours.  Don't worry,3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",COWAN,L381640,"So... wait.  You just asked... but he goes so fast, he actually brought what you asked for before you asked for it.",3,1
men in black,"['action', 'adventure', 'comedy', 'sci-fi']",ZED,L381632,"Hang on. -- And this is the good part; when you're fully ordained, he'll come when you call him, too.  Dave.",3,1
